@relation Data

@attribute MPG numeric
@attribute MPG_text {bad,good}
@attribute cylinders numeric
@attribute displacement numeric
@attribute horsepower numeric
@attribute weight numeric
@attribute acceleration numeric
@attribute model_year numeric
@attribute country_origin_code numeric
@attribute country_origin {USA,Asia,Europe}
@attribute car_name {'chevrolet chevelle malibu','buick skylark 320','plymouth satellite','amc rebel sst','ford torino','ford galaxie 500','chevrolet impala','plymouth fury iii','pontiac catalina','amc ambassador dpl','dodge challenger se','plymouth \'cuda 340','chevrolet monte carlo','buick estate wagon (sw)','toyota corona mark ii','plymouth duster','amc hornet','ford maverick','datsun pl510','volkswagen 1131 deluxe sedan','peugeot 504','audi 100 ls','saab 99e','bmw 2002','amc gremlin','ford f250','chevy c20','dodge d200','hi 1200d','chevrolet vega 2300','toyota corona','ford pinto','plymouth satellite custom','ford torino 500','amc matador','pontiac catalina brougham','dodge monaco (sw)','ford country squire (sw)','pontiac safari (sw)','amc hornet sportabout (sw)','chevrolet vega (sw)','pontiac firebird','ford mustang','mercury capri 2000','opel 1900','peugeot 304','fiat 124b','toyota corolla 1200','datsun 1200','volkswagen model 111','plymouth cricket','toyota corona hardtop','dodge colt hardtop','volkswagen type 3','chevrolet vega','ford pinto runabout','amc ambassador sst','mercury marquis','buick lesabre custom','oldsmobile delta 88 royale','chrysler newport royal','mazda rx2 coupe','amc matador (sw)','chevrolet chevelle concours (sw)','ford gran torino (sw)','plymouth satellite custom (sw)','volvo 145e (sw)','volkswagen 411 (sw)','peugeot 504 (sw)','renault 12 (sw)','ford pinto (sw)','datsun 510 (sw)','toyouta corona mark ii (sw)','dodge colt (sw)','toyota corolla 1600 (sw)','buick century 350','chevrolet malibu','ford gran torino','dodge coronet custom','mercury marquis brougham','chevrolet caprice classic','ford ltd','plymouth fury gran sedan','chrysler new yorker brougham','buick electra 225 custom','amc ambassador brougham','plymouth valiant','chevrolet nova custom','volkswagen super beetle','ford country','plymouth custom suburb','oldsmobile vista cruiser','toyota carina','datsun 610','maxda rx3','mercury capri v6','fiat 124 sport coupe','chevrolet monte carlo s','pontiac grand prix','fiat 128','opel manta','audi 100ls','volvo 144ea','dodge dart custom','saab 99le','toyota mark ii','oldsmobile omega','chevrolet nova','datsun b210','chevrolet chevelle malibu classic','plymouth satellite sebring','buick century luxus (sw)','dodge coronet custom (sw)','audi fox','volkswagen dasher','datsun 710','dodge colt','fiat 124 tc','honda civic',subaru,'fiat x1.9','plymouth valiant custom','mercury monarch','chevrolet bel air','plymouth grand fury','buick century','chevroelt chevelle malibu','plymouth fury','buick skyhawk','chevrolet monza 2+2','ford mustang ii','toyota corolla','pontiac astro','volkswagen rabbit','amc pacer','volvo 244dl','honda civic cvcc','fiat 131','capri ii','renault 12tl','dodge coronet brougham','chevrolet chevette','chevrolet woody','vw rabbit','dodge aspen se','ford granada ghia','pontiac ventura sj','amc pacer d/l','datsun b-210','volvo 245','plymouth volare premier v8','mercedes-benz 280s','cadillac seville','chevy c10','ford f108','dodge d100','honda accord cvcc','buick opel isuzu deluxe','renault 5 gtl','plymouth arrow gs','datsun f-10 hatchback','oldsmobile cutlass supreme','dodge monaco brougham','mercury cougar brougham','chevrolet concours','buick skylark','plymouth volare custom','ford granada','pontiac grand prix lj','chevrolet monte carlo landau','chrysler cordoba','ford thunderbird','volkswagen rabbit custom','pontiac sunbird coupe','toyota corolla liftback','ford mustang ii 2+2','dodge colt m/m','subaru dl','datsun 810','bmw 320i','mazda rx-4','volkswagen rabbit custom diesel','ford fiesta','mazda glc deluxe','datsun b210 gx','oldsmobile cutlass salon brougham','dodge diplomat','mercury monarch ghia','pontiac phoenix lj','ford fairmont (auto)','ford fairmont (man)','plymouth volare','amc concord','buick century special','mercury zephyr','dodge aspen','amc concord d/l','buick regal sport coupe (turbo)','ford futura','dodge magnum xe','datsun 510','dodge omni','toyota celica gt liftback','plymouth sapporo','oldsmobile starfire sx','datsun 200-sx','audi 5000','volvo 264gl','saab 99gle','peugeot 604sl','volkswagen scirocco','honda accord lx','pontiac lemans v6','mercury zephyr 6','ford fairmont 4','amc concord dl 6','dodge aspen 6','ford ltd landau','mercury grand marquis','dodge st. regis','chevrolet malibu classic (sw)','chrysler lebaron town @ country (sw)','vw rabbit custom','maxda glc deluxe','dodge colt hatchback custom','amc spirit dl','mercedes benz 300d','cadillac eldorado','plymouth horizon','plymouth horizon tc3','datsun 210','fiat strada custom','buick skylark limited','chevrolet citation','oldsmobile omega brougham','pontiac phoenix','toyota corolla tercel','datsun 310','ford fairmont','audi 4000','toyota corona liftback','mazda 626','datsun 510 hatchback','mazda glc','vw rabbit c (diesel)','vw dasher (diesel)','audi 5000s (diesel)','mercedes-benz 240d','honda civic 1500 gl','renault lecar deluxe','vokswagen rabbit','datsun 280-zx','mazda rx-7 gs','triumph tr7 coupe','ford mustang cobra','honda accord','plymouth reliant','dodge aries wagon (sw)','toyota starlet','plymouth champ','honda civic 1300','datsun 210 mpg','toyota tercel','mazda glc 4','plymouth horizon 4','ford escort 4w','ford escort 2h','volkswagen jetta','renault 18i','honda prelude','datsun 200sx','peugeot 505s turbo diesel','volvo diesel','toyota cressida','datsun 810 maxima','oldsmobile cutlass ls','ford granada gl','chrysler lebaron salon','chevrolet cavalier','chevrolet cavalier wagon','chevrolet cavalier 2-door','pontiac j2000 se hatchback','dodge aries se','ford fairmont futura','amc concord dl','volkswagen rabbit l','mazda glc custom l','mazda glc custom','plymouth horizon miser','mercury lynx l','nissan stanza xe','honda civic (auto)','datsun 310 gx','buick century limited','oldsmobile cutlass ciera (diesel)','chrysler lebaron medallion','ford granada l','toyota celica gt','dodge charger 2.2','chevrolet camaro','ford mustang gl','vw pickup','dodge rampage','ford ranger','chevy s-10'}

@data
18,bad,8,307,130,3504,12,70,1,USA,'chevrolet chevelle malibu'
15,bad,8,350,165,3693,11.5,70,1,USA,'buick skylark 320'
18,bad,8,318,150,3436,11,70,1,USA,'plymouth satellite'
16,bad,8,304,150,3433,12,70,1,USA,'amc rebel sst'
17,bad,8,302,140,3449,10.5,70,1,USA,'ford torino'
15,bad,8,429,198,4341,10,70,1,USA,'ford galaxie 500'
14,bad,8,454,220,4354,9,70,1,USA,'chevrolet impala'
14,bad,8,440,215,4312,8.5,70,1,USA,'plymouth fury iii'
14,bad,8,455,225,4425,10,70,1,USA,'pontiac catalina'
15,bad,8,390,190,3850,8.5,70,1,USA,'amc ambassador dpl'
15,bad,8,383,170,3563,10,70,1,USA,'dodge challenger se'
14,bad,8,340,160,3609,8,70,1,USA,'plymouth \'cuda 340'
15,bad,8,400,150,3761,9.5,70,1,USA,'chevrolet monte carlo'
14,bad,8,455,225,3086,10,70,1,USA,'buick estate wagon (sw)'
24,good,4,113,95,2372,15,70,3,Asia,'toyota corona mark ii'
22,good,6,198,95,2833,15.5,70,1,USA,'plymouth duster'
18,bad,6,199,97,2774,15.5,70,1,USA,'amc hornet'
21,good,6,200,85,2587,16,70,1,USA,'ford maverick'
27,good,4,97,88,2130,14.5,70,3,Asia,'datsun pl510'
26,good,4,97,46,1835,20.5,70,2,Europe,'volkswagen 1131 deluxe sedan'
25,good,4,110,87,2672,17.5,70,2,Europe,'peugeot 504'
24,good,4,107,90,2430,14.5,70,2,Europe,'audi 100 ls'
25,good,4,104,95,2375,17.5,70,2,Europe,'saab 99e'
26,good,4,121,113,2234,12.5,70,2,Europe,'bmw 2002'
21,good,6,199,90,2648,15,70,1,USA,'amc gremlin'
10,bad,8,360,215,4615,14,70,1,USA,'ford f250'
10,bad,8,307,200,4376,15,70,1,USA,'chevy c20'
11,bad,8,318,210,4382,13.5,70,1,USA,'dodge d200'
9,bad,8,304,193,4732,18.5,70,1,USA,'hi 1200d'
27,good,4,97,88,2130,14.5,71,3,Asia,'datsun pl510'
28,good,4,140,90,2264,15.5,71,1,USA,'chevrolet vega 2300'
25,good,4,113,95,2228,14,71,3,Asia,'toyota corona'
25,good,4,98,?,2046,19,71,1,USA,'ford pinto'
19,bad,6,232,100,2634,13,71,1,USA,'amc gremlin'
16,bad,6,225,105,3439,15.5,71,1,USA,'plymouth satellite custom'
17,bad,6,250,100,3329,15.5,71,1,USA,'chevrolet chevelle malibu'
19,bad,6,250,88,3302,15.5,71,1,USA,'ford torino 500'
18,bad,6,232,100,3288,15.5,71,1,USA,'amc matador'
14,bad,8,350,165,4209,12,71,1,USA,'chevrolet impala'
14,bad,8,400,175,4464,11.5,71,1,USA,'pontiac catalina brougham'
14,bad,8,351,153,4154,13.5,71,1,USA,'ford galaxie 500'
14,bad,8,318,150,4096,13,71,1,USA,'plymouth fury iii'
12,bad,8,383,180,4955,11.5,71,1,USA,'dodge monaco (sw)'
13,bad,8,400,170,4746,12,71,1,USA,'ford country squire (sw)'
13,bad,8,400,175,5140,12,71,1,USA,'pontiac safari (sw)'
18,bad,6,258,110,2962,13.5,71,1,USA,'amc hornet sportabout (sw)'
22,good,4,140,72,2408,19,71,1,USA,'chevrolet vega (sw)'
19,bad,6,250,100,3282,15,71,1,USA,'pontiac firebird'
18,bad,6,250,88,3139,14.5,71,1,USA,'ford mustang'
23,good,4,122,86,2220,14,71,1,USA,'mercury capri 2000'
28,good,4,116,90,2123,14,71,2,Europe,'opel 1900'
30,good,4,79,70,2074,19.5,71,2,Europe,'peugeot 304'
30,good,4,88,76,2065,14.5,71,2,Europe,'fiat 124b'
31,good,4,71,65,1773,19,71,3,Asia,'toyota corolla 1200'
35,good,4,72,69,1613,18,71,3,Asia,'datsun 1200'
27,good,4,97,60,1834,19,71,2,Europe,'volkswagen model 111'
26,good,4,91,70,1955,20.5,71,1,USA,'plymouth cricket'
24,good,4,113,95,2278,15.5,72,3,Asia,'toyota corona hardtop'
25,good,4,97.5,80,2126,17,72,1,USA,'dodge colt hardtop'
23,good,4,97,54,2254,23.5,72,2,Europe,'volkswagen type 3'
20,good,4,140,90,2408,19.5,72,1,USA,'chevrolet vega'
21,good,4,122,86,2226,16.5,72,1,USA,'ford pinto runabout'
13,bad,8,350,165,4274,12,72,1,USA,'chevrolet impala'
14,bad,8,400,175,4385,12,72,1,USA,'pontiac catalina'
15,bad,8,318,150,4135,13.5,72,1,USA,'plymouth fury iii'
14,bad,8,351,153,4129,13,72,1,USA,'ford galaxie 500'
17,bad,8,304,150,3672,11.5,72,1,USA,'amc ambassador sst'
11,bad,8,429,208,4633,11,72,1,USA,'mercury marquis'
13,bad,8,350,155,4502,13.5,72,1,USA,'buick lesabre custom'
12,bad,8,350,160,4456,13.5,72,1,USA,'oldsmobile delta 88 royale'
13,bad,8,400,190,4422,12.5,72,1,USA,'chrysler newport royal'
19,bad,3,70,97,2330,13.5,72,3,Asia,'mazda rx2 coupe'
15,bad,8,304,150,3892,12.5,72,1,USA,'amc matador (sw)'
13,bad,8,307,130,4098,14,72,1,USA,'chevrolet chevelle concours (sw)'
13,bad,8,302,140,4294,16,72,1,USA,'ford gran torino (sw)'
14,bad,8,318,150,4077,14,72,1,USA,'plymouth satellite custom (sw)'
18,bad,4,121,112,2933,14.5,72,2,Europe,'volvo 145e (sw)'
22,good,4,121,76,2511,18,72,2,Europe,'volkswagen 411 (sw)'
21,good,4,120,87,2979,19.5,72,2,Europe,'peugeot 504 (sw)'
26,good,4,96,69,2189,18,72,2,Europe,'renault 12 (sw)'
22,good,4,122,86,2395,16,72,1,USA,'ford pinto (sw)'
28,good,4,97,92,2288,17,72,3,Asia,'datsun 510 (sw)'
